@RELATION combined_raw_data

@ATTRIBUTE data_id NUMERIC
@ATTRIBUTE order_id NUMERIC
@ATTRIBUTE process_id NUMERIC
@ATTRIBUTE datetime_started NUMERIC
@ATTRIBUTE datetime_ended NUMERIC
@ATTRIBUTE ordered_datetime NUMERIC
@ATTRIBUTE ordered_height NUMERIC
@ATTRIBUTE ordered_width NUMERIC
@ATTRIBUTE number_ordered NUMERIC
@ATTRIBUTE process_name NUMERIC
@ATTRIBUTE equipment_required NUMERIC
@ATTRIBUTE num_staff_required NUMERIC
@ATTRIBUTE equipment_id NUMERIC
@ATTRIBUTE equipment_name NUMERIC

@DATA
1.0,1.0,1.0,0.0,0.0,1.0,2.2,0.5,2.0,5.0,2.0,1.0,2.0,0.0
2.0,1.0,2.0,1.0,2.0,1.0,2.2,0.5,2.0,4.0,2.0,1.0,2.0,0.0
3.0,1.0,3.0,3.0,4.0,1.0,2.2,0.5,2.0,0.0,1.0,1.0,1.0,1.0
4.0,1.0,4.0,5.0,6.0,1.0,2.2,0.5,2.0,1.0,4.0,2.0,4.0,3.0
5.0,1.0,5.0,7.0,8.0,1.0,2.2,0.5,2.0,2.0,3.0,2.0,3.0,2.0
6.0,1.0,6.0,9.0,10.0,1.0,2.2,0.5,2.0,3.0,1.0,1.0,1.0,1.0
7.0,1.0,7.0,11.0,12.0,1.0,2.2,0.5,2.0,6.0,1.0,1.0,1.0,1.0
8.0,1.0,8.0,13.0,12.0,1.0,2.2,0.5,2.0,7.0,5.0,2.0,5.0,4.0
9.0,1.0,1.0,0.0,1.0,1.0,2.2,0.5,2.0,5.0,2.0,1.0,2.0,0.0
10.0,1.0,2.0,2.0,3.0,1.0,2.2,0.5,2.0,4.0,2.0,1.0,2.0,0.0
11.0,1.0,3.0,4.0,5.0,1.0,2.2,0.5,2.0,0.0,1.0,1.0,1.0,1.0
12.0,1.0,4.0,6.0,7.0,1.0,2.2,0.5,2.0,1.0,4.0,2.0,4.0,3.0
13.0,1.0,5.0,8.0,9.0,1.0,2.2,0.5,2.0,2.0,3.0,2.0,3.0,2.0
14.0,1.0,6.0,10.0,11.0,1.0,2.2,0.5,2.0,3.0,1.0,1.0,1.0,1.0
15.0,1.0,7.0,12.0,13.0,1.0,2.2,0.5,2.0,6.0,1.0,1.0,1.0,1.0
16.0,1.0,8.0,14.0,14.0,1.0,2.2,0.5,2.0,7.0,5.0,2.0,5.0,4.0
17.0,2.0,1.0,15.0,15.0,0.0,1.8,1.4,1.0,5.0,2.0,1.0,2.0,0.0
18.0,2.0,2.0,16.0,16.0,0.0,1.8,1.4,1.0,4.0,2.0,1.0,2.0,0.0
19.0,2.0,3.0,17.0,17.0,0.0,1.8,1.4,1.0,0.0,1.0,1.0,1.0,1.0
20.0,2.0,4.0,18.0,18.0,0.0,1.8,1.4,1.0,1.0,4.0,2.0,4.0,3.0
21.0,2.0,5.0,19.0,19.0,0.0,1.8,1.4,1.0,2.0,3.0,2.0,3.0,2.0
22.0,2.0,6.0,20.0,20.0,0.0,1.8,1.4,1.0,3.0,1.0,1.0,1.0,1.0
23.0,2.0,7.0,21.0,21.0,0.0,1.8,1.4,1.0,6.0,1.0,1.0,1.0,1.0
24.0,2.0,8.0,22.0,22.0,0.0,1.8,1.4,1.0,7.0,5.0,2.0,5.0,4.0
25.0,3.0,1.0,23.0,24.0,2.0,2.0,0.8,3.0,5.0,2.0,1.0,2.0,0.0
26.0,3.0,2.0,25.0,27.0,2.0,2.0,0.8,3.0,4.0,2.0,1.0,2.0,0.0
27.0,3.0,3.0,28.0,31.0,2.0,2.0,0.8,3.0,0.0,1.0,1.0,1.0,1.0
28.0,3.0,4.0,32.0,34.0,2.0,2.0,0.8,3.0,1.0,4.0,2.0,4.0,3.0
29.0,3.0,5.0,35.0,38.0,2.0,2.0,0.8,3.0,2.0,3.0,2.0,3.0,2.0
30.0,3.0,6.0,39.0,40.0,2.0,2.0,0.8,3.0,3.0,1.0,1.0,1.0,1.0
31.0,3.0,7.0,41.0,43.0,2.0,2.0,0.8,3.0,6.0,1.0,1.0,1.0,1.0
