ordered_height,ordered_width,process_name,num_staff_required,equipment_name,process_duration_minutes,hour_started,day_of_week,is_weekend,cluster,anomaly,is_anomaly,anomaly_score
0.4,1.3,cut_sheet_to_size,3,CNC Machine,14.0,15,0,0,0,1,0,-0.02767208166658297
0.4,1.3,cut_sheet_of_larger_size,1,CNC Machine,5.0,15,0,0,0,1,0,-0.10649437452734045
0.4,1.3,add_attachment_to_sheet,3,Cutting Table,10.0,15,0,0,1,1,0,-0.05013795127386922
0.4,1.3,apply_indents_to_sheet,2,Indenting Machine,7.0,16,0,0,2,1,0,-0.1015398268374772
0.4,1.3,combine_sheets,2,Heating Element,16.0,16,0,0,2,1,0,-0.04340339046273678
0.4,1.3,cut_panel_to_size,1,Cutting Table,5.0,16,0,0,1,1,0,-0.10908687880423668
0.4,1.3,quality_control_check,1,Cutting Table,5.0,16,0,0,1,1,0,-0.10908687880423668
0.4,1.3,wrap_on_pallet,2,Pallet,2.0,16,0,0,0,1,0,-0.07070179627168616
0.4,1.3,cut_sheet_to_size,3,CNC Machine,10.0,16,0,0,0,1,0,-0.04983115805939442
0.4,1.3,cut_sheet_of_larger_size,1,CNC Machine,4.0,16,0,0,0,1,0,-0.08844811076981973
0.4,1.3,add_attachment_to_sheet,1,Cutting Table,10.0,16,0,0,1,1,0,-0.09626005688305911
0.4,1.3,apply_indents_to_sheet,2,Indenting Machine,8.0,16,0,0,2,1,0,-0.10148364291560719
0.4,1.3,combine_sheets,2,Heating Element,15.0,16,0,0,2,1,0,-0.061475072950317844
0.4,1.3,cut_panel_to_size,1,Cutting Table,5.0,16,0,0,1,1,0,-0.10908687880423668
0.4,1.3,quality_control_check,1,Cutting Table,5.0,16,0,0,1,1,0,-0.10908687880423668
0.4,1.3,wrap_on_pallet,3,Pallet,2.0,16,0,0,0,1,0,-0.03807808062245255
0.4,1.3,cut_sheet_to_size,1,CNC Machine,10.0,17,0,0,0,1,0,-0.09503888000637245
0.4,1.3,cut_sheet_of_larger_size,1,CNC Machine,5.0,17,0,0,0,1,0,-0.10759390002800862
0.4,1.3,add_attachment_to_sheet,1,Cutting Table,11.0,17,0,0,1,1,0,-0.08838912447659764
0.4,1.3,apply_indents_to_sheet,4,Indenting Machine,8.0,17,0,0,2,-1,1,0.002207206973752318
0.4,1.3,combine_sheets,2,Heating Element,18.0,18,0,0,2,1,0,-0.025096514917498647
0.4,1.3,cut_panel_to_size,1,Cutting Table,5.0,18,0,0,1,1,0,-0.10153970673587154
0.4,1.3,quality_control_check,1,Cutting Table,5.0,18,0,0,1,1,0,-0.10153970673587154
0.4,1.3,wrap_on_pallet,4,Pallet,2.0,18,0,0,2,-1,1,0.02280848390957335
0.4,1.3,cut_sheet_to_size,1,CNC Machine,11.0,18,0,0,0,1,0,-0.08377001183567301
0.4,1.3,cut_sheet_of_larger_size,3,CNC Machine,5.0,18,0,0,0,1,0,-0.054728123891512825
0.4,1.3,add_attachment_to_sheet,1,Cutting Table,10.0,18,0,0,1,1,0,-0.09013910139876258
0.4,1.3,apply_indents_to_sheet,3,Indenting Machine,8.0,18,0,0,2,1,0,-0.05365658027240672
0.4,1.3,combine_sheets,2,Heating Element,14.0,19,0,0,2,1,0,-0.057167743183635156
0.4,1.3,cut_panel_to_size,1,Cutting Table,7.0,19,0,0,1,1,0,-0.09489944804196626
0.4,1.3,quality_control_check,1,Cutting Table,5.0,19,0,0,1,1,0,-0.09856214079556436
0.4,1.3,wrap_on_pallet,2,Pallet,2.0,19,0,0,0,1,0,-0.06198273540517274
0.4,1.3,cut_sheet_to_size,1,CNC Machine,10.0,19,0,0,0,1,0,-0.09080009594035343
0.4,1.3,cut_sheet_of_larger_size,1,CNC Machine,7.0,19,0,0,0,1,0,-0.09489944804196626
0.4,1.3,add_attachment_to_sheet,1,Cutting Table,10.0,19,0,0,1,1,0,-0.09080009594035343
0.4,1.3,apply_indents_to_sheet,2,Indenting Machine,8.0,19,0,0,2,1,0,-0.08969255995627723
0.4,1.3,combine_sheets,2,Heating Element,15.0,20,0,0,2,1,0,-0.05724953244937703
0.4,1.3,cut_panel_to_size,1,Cutting Table,5.0,20,0,0,1,1,0,-0.10196595662370128
0.4,1.3,quality_control_check,1,Cutting Table,5.0,20,0,0,1,1,0,-0.10196595662370128
