data_id,order_id,process_id,datetime_started,datetime_ended,ordered_datetime,ordered_height,ordered_width,number_ordered,process_name,equipment_required,num_staff_required,equipment_id,equipment_name
1,1,1,2025-01-20 15:31:54,2025-01-20 15:45:54,2025-01-17 13:31:54,0.4,1.3,15,cut_sheet_to_size,CNC Machine,3,CNC002,CNC Machine
2,1,2,2025-01-20 15:45:54,2025-01-20 15:50:54,2025-01-17 13:31:54,0.4,1.3,15,cut_sheet_of_larger_size,CNC Machine,1,CNC002,CNC Machine
3,1,3,2025-01-20 15:50:54,2025-01-20 16:00:54,2025-01-17 13:31:54,0.4,1.3,15,add_attachment_to_sheet,Cutting Table,3,CT003,Cutting Table
4,1,4,2025-01-20 16:00:54,2025-01-20 16:07:54,2025-01-17 13:31:54,0.4,1.3,15,apply_indents_to_sheet,Indenting Machine,2,IM002,Indenting Machine
5,1,5,2025-01-20 16:07:54,2025-01-20 16:23:54,2025-01-17 13:31:54,0.4,1.3,15,combine_sheets,Heating Element,2,HE001,Heating Element
6,1,6,2025-01-20 16:23:54,2025-01-20 16:28:54,2025-01-17 13:31:54,0.4,1.3,15,cut_panel_to_size,Cutting Table,1,CT001,Cutting Table
7,1,7,2025-01-20 16:28:54,2025-01-20 16:33:54,2025-01-17 13:31:54,0.4,1.3,15,quality_control_check,Cutting Table,1,CT004,Cutting Table
8,1,8,2025-01-20 16:33:54,2025-01-20 16:35:54,2025-01-17 13:31:54,0.4,1.3,15,wrap_on_pallet,Pallet,2,PAL001,Pallet
9,1,1,2025-01-20 16:01:54,2025-01-20 16:11:54,2025-01-17 13:31:54,0.4,1.3,15,cut_sheet_to_size,CNC Machine,3,CNC002,CNC Machine
10,1,2,2025-01-20 16:11:54,2025-01-20 16:15:54,2025-01-17 13:31:54,0.4,1.3,15,cut_sheet_of_larger_size,CNC Machine,1,CNC002,CNC Machine
11,1,3,2025-01-20 16:15:54,2025-01-20 16:25:54,2025-01-17 13:31:54,0.4,1.3,15,add_attachment_to_sheet,Cutting Table,1,CT001,Cutting Table
12,1,4,2025-01-20 16:25:54,2025-01-20 16:33:54,2025-01-17 13:31:54,0.4,1.3,15,apply_indents_to_sheet,Indenting Machine,2,IM002,Indenting Machine
13,1,5,2025-01-20 16:33:54,2025-01-20 16:48:54,2025-01-17 13:31:54,0.4,1.3,15,combine_sheets,Heating Element,2,HE003,Heating Element
14,1,6,2025-01-20 16:48:54,2025-01-20 16:53:54,2025-01-17 13:31:54,0.4,1.3,15,cut_panel_to_size,Cutting Table,1,CT003,Cutting Table
15,1,7,2025-01-20 16:53:54,2025-01-20 16:58:54,2025-01-17 13:31:54,0.4,1.3,15,quality_control_check,Cutting Table,1,CT004,Cutting Table
16,1,8,2025-01-20 16:58:54,2025-01-20 17:00:54,2025-01-17 13:31:54,0.4,1.3,15,wrap_on_pallet,Pallet,3,PAL004,Pallet
17,1,1,2025-01-20 17:31:54,2025-01-20 17:41:54,2025-01-17 13:31:54,0.4,1.3,15,cut_sheet_to_size,CNC Machine,1,CNC002,CNC Machine
18,1,2,2025-01-20 17:41:54,2025-01-20 17:46:54,2025-01-17 13:31:54,0.4,1.3,15,cut_sheet_of_larger_size,CNC Machine,1,CNC002,CNC Machine
19,1,3,2025-01-20 17:46:54,2025-01-20 17:57:54,2025-01-17 13:31:54,0.4,1.3,15,add_attachment_to_sheet,Cutting Table,1,CT002,Cutting Table
20,1,4,2025-01-20 17:57:54,2025-01-20 18:05:54,2025-01-17 13:31:54,0.4,1.3,15,apply_indents_to_sheet,Indenting Machine,4,IM002,Indenting Machine
21,1,5,2025-01-20 18:05:54,2025-01-20 18:23:54,2025-01-17 13:31:54,0.4,1.3,15,combine_sheets,Heating Element,2,HE003,Heating Element
22,1,6,2025-01-20 18:23:54,2025-01-20 18:28:54,2025-01-17 13:31:54,0.4,1.3,15,cut_panel_to_size,Cutting Table,1,CT003,Cutting Table
23,1,7,2025-01-20 18:28:54,2025-01-20 18:33:54,2025-01-17 13:31:54,0.4,1.3,15,quality_control_check,Cutting Table,1,CT003,Cutting Table
24,1,8,2025-01-20 18:33:54,2025-01-20 18:35:54,2025-01-17 13:31:54,0.4,1.3,15,wrap_on_pallet,Pallet,4,PAL004,Pallet
25,1,1,2025-01-20 18:31:54,2025-01-20 18:42:54,2025-01-17 13:31:54,0.4,1.3,15,cut_sheet_to_size,CNC Machine,1,CNC003,CNC Machine
26,1,2,2025-01-20 18:42:54,2025-01-20 18:47:54,2025-01-17 13:31:54,0.4,1.3,15,cut_sheet_of_larger_size,CNC Machine,3,CNC002,CNC Machine
27,1,3,2025-01-20 18:47:54,2025-01-20 18:57:54,2025-01-17 13:31:54,0.4,1.3,15,add_attachment_to_sheet,Cutting Table,1,CT003,Cutting Table
28,1,4,2025-01-20 18:57:54,2025-01-20 19:05:54,2025-01-17 13:31:54,0.4,1.3,15,apply_indents_to_sheet,Indenting Machine,3,IM002,Indenting Machine
29,1,5,2025-01-20 19:05:54,2025-01-20 19:19:54,2025-01-17 13:31:54,0.4,1.3,15,combine_sheets,Heating Element,2,HE002,Heating Element
30,1,6,2025-01-20 19:19:54,2025-01-20 19:26:54,2025-01-17 13:31:54,0.4,1.3,15,cut_panel_to_size,Cutting Table,1,CT001,Cutting Table
31,1,7,2025-01-20 19:26:54,2025-01-20 19:31:54,2025-01-17 13:31:54,0.4,1.3,15,quality_control_check,Cutting Table,1,CT002,Cutting Table
32,1,8,2025-01-20 19:31:54,2025-01-20 19:33:54,2025-01-17 13:31:54,0.4,1.3,15,wrap_on_pallet,Pallet,2,PAL002,Pallet
33,1,1,2025-01-20 19:31:54,2025-01-20 19:41:54,2025-01-17 13:31:54,0.4,1.3,15,cut_sheet_to_size,CNC Machine,1,CNC002,CNC Machine
34,1,2,2025-01-20 19:41:54,2025-01-20 19:48:54,2025-01-17 13:31:54,0.4,1.3,15,cut_sheet_of_larger_size,CNC Machine,1,CNC002,CNC Machine
35,1,3,2025-01-20 19:48:54,2025-01-20 19:58:54,2025-01-17 13:31:54,0.4,1.3,15,add_attachment_to_sheet,Cutting Table,1,CT002,Cutting Table
36,1,4,2025-01-20 19:58:54,2025-01-20 20:06:54,2025-01-17 13:31:54,0.4,1.3,15,apply_indents_to_sheet,Indenting Machine,2,IM002,Indenting Machine
37,1,5,2025-01-20 20:06:54,2025-01-20 20:21:54,2025-01-17 13:31:54,0.4,1.3,15,combine_sheets,Heating Element,2,HE002,Heating Element
38,1,6,2025-01-20 20:21:54,2025-01-20 20:26:54,2025-01-17 13:31:54,0.4,1.3,15,cut_panel_to_size,Cutting Table,1,CT001,Cutting Table
39,1,7,2025-01-20 20:26:54,2025-01-20 20:31:54,2025-01-17 13:31:54,0.4,1.3,15,quality_control_check,Cutting Table,1,CT003,Cutting Table
40,1,8,2025-01-20 20:31:54,2025-01-20 20:33:54,2025-01-17 13:31:54,0.4,1.3,15,wrap_on_pallet,Pallet,2,PAL003,Pallet
41,1,1,2025-01-20 18:46:54,2025-01-20 18:56:54,2025-01-17 13:31:54,0.4,1.3,15,cut_sheet_to_size,CNC Machine,1,CNC003,CNC Machine
42,1,2,2025-01-20 18:56:54,2025-01-20 19:01:54,2025-01-17 13:31:54,0.4,1.3,15,cut_sheet_of_larger_size,CNC Machine,1,CNC003,CNC Machine
43,1,3,2025-01-20 19:01:54,2025-01-20 19:11:54,2025-01-17 13:31:54,0.4,1.3,15,add_attachment_to_sheet,Cutting Table,1,CT003,Cutting Table
44,1,4,2025-01-20 20:41:54,2025-01-20 20:49:54,2025-01-17 13:31:54,0.4,1.3,15,apply_indents_to_sheet,Indenting Machine,4,IM002,Indenting Machine
45,1,5,2025-01-20 20:49:54,2025-01-20 21:04:54,2025-01-17 13:31:54,0.4,1.3,15,combine_sheets,Heating Element,2,HE002,Heating Element
46,1,6,2025-01-20 21:04:54,2025-01-20 21:09:54,2025-01-17 13:31:54,0.4,1.3,15,cut_panel_to_size,Cutting Table,1,CT003,Cutting Table
47,1,7,2025-01-20 21:09:54,2025-01-20 21:14:54,2025-01-17 13:31:54,0.4,1.3,15,quality_control_check,Cutting Table,1,CT004,Cutting Table
48,1,8,2025-01-20 21:14:54,2025-01-20 21:16:54,2025-01-17 13:31:54,0.4,1.3,15,wrap_on_pallet,Pallet,3,PAL005,Pallet
49,1,1,2025-01-20 20:31:54,2025-01-20 20:41:54,2025-01-17 13:31:54,0.4,1.3,15,cut_sheet_to_size,CNC Machine,1,CNC001,CNC Machine
50,1,2,2025-01-20 20:41:54,2025-01-20 20:48:54,2025-01-17 13:31:54,0.4,1.3,15,cut_sheet_of_larger_size,CNC Machine,1,CNC003,CNC Machine
51,1,3,2025-01-20 21:03:54,2025-01-20 21:13:54,2025-01-17 13:31:54,0.4,1.3,15,add_attachment_to_sheet,Cutting Table,2,CT004,Cutting Table
52,1,4,2025-01-20 21:13:54,2025-01-20 21:21:54,2025-01-17 13:31:54,0.4,1.3,15,apply_indents_to_sheet,Indenting Machine,2,IM002,Indenting Machine
53,1,5,2025-01-20 21:21:54,2025-01-20 21:36:54,2025-01-17 13:31:54,0.4,1.3,15,combine_sheets,Heating Element,2,HE001,Heating Element
54,1,6,2025-01-20 21:36:54,2025-01-20 21:41:54,2025-01-17 13:31:54,0.4,1.3,15,cut_panel_to_size,Cutting Table,3,CT002,Cutting Table
55,1,7,2025-01-20 21:41:54,2025-01-20 21:48:54,2025-01-17 13:31:54,0.4,1.3,15,quality_control_check,Cutting Table,1,CT001,Cutting Table
56,1,8,2025-01-20 21:48:54,2025-01-20 21:50:54,2025-01-17 13:31:54,0.4,1.3,15,wrap_on_pallet,Pallet,4,PAL003,Pallet
57,1,1,2025-01-20 21:31:54,2025-01-20 21:41:54,2025-01-17 13:31:54,0.4,1.3,15,cut_sheet_to_size,CNC Machine,1,CNC003,CNC Machine
58,1,2,2025-01-20 21:41:54,2025-01-20 21:46:54,2025-01-17 13:31:54,0.4,1.3,15,cut_sheet_of_larger_size,CNC Machine,1,CNC003,CNC Machine
59,1,3,2025-01-20 21:46:54,2025-01-20 21:56:54,2025-01-17 13:31:54,0.4,1.3,15,add_attachment_to_sheet,Cutting Table,1,CT002,Cutting Table
60,1,4,2025-01-20 21:56:54,2025-01-20 22:02:54,2025-01-17 13:31:54,0.4,1.3,15,apply_indents_to_sheet,Indenting Machine,2,IM002,Indenting Machine
61,1,5,2025-01-20 22:02:54,2025-01-20 22:17:54,2025-01-17 13:31:54,0.4,1.3,15,combine_sheets,Heating Element,2,HE002,Heating Element
62,1,6,2025-01-20 22:17:54,2025-01-20 22:23:54,2025-01-17 13:31:54,0.4,1.3,15,cut_panel_to_size,Cutting Table,1,CT002,Cutting Table
63,1,7,2025-01-20 22:23:54,2025-01-20 22:28:54,2025-01-17 13:31:54,0.4,1.3,15,quality_control_check,Cutting Table,1,CT002,Cutting Table
64,1,8,2025-01-20 22:28:54,2025-01-20 22:30:54,2025-01-17 13:31:54,0.4,1.3,15,wrap_on_pallet,Pallet,3,PAL004,Pallet
65,1,1,2025-01-20 22:01:54,2025-01-20 22:13:54,2025-01-17 13:31:54,0.4,1.3,15,cut_sheet_to_size,CNC Machine,2,CNC002,CNC Machine
66,1,2,2025-01-20 22:13:54,2025-01-20 22:20:54,2025-01-17 13:31:54,0.4,1.3,15,cut_sheet_of_larger_size,CNC Machine,1,CNC001,CNC Machine
67,1,3,2025-01-20 22:20:54,2025-01-20 22:33:54,2025-01-17 13:31:54,0.4,1.3,15,add_attachment_to_sheet,Cutting Table,1,CT001,Cutting Table
68,1,4,2025-01-20 22:33:54,2025-01-20 22:44:54,2025-01-17 13:31:54,0.4,1.3,15,apply_indents_to_sheet,Indenting Machine,2,IM002,Indenting Machine
69,1,5,2025-01-20 22:44:54,2025-01-20 22:59:54,2025-01-17 13:31:54,0.4,1.3,15,combine_sheets,Heating Element,4,HE003,Heating Element
70,1,6,2025-01-20 22:59:54,2025-01-20 23:04:54,2025-01-17 13:31:54,0.4,1.3,15,cut_panel_to_size,Cutting Table,1,CT001,Cutting Table
71,1,7,2025-01-20 23:04:54,2025-01-20 23:09:54,2025-01-17 13:31:54,0.4,1.3,15,quality_control_check,Cutting Table,1,CT001,Cutting Table
72,1,8,2025-01-20 23:09:54,2025-01-20 23:11:54,2025-01-17 13:31:54,0.4,1.3,15,wrap_on_pallet,Pallet,2,PAL004,Pallet
73,1,1,2025-01-20 22:16:54,2025-01-20 22:26:54,2025-01-17 13:31:54,0.4,1.3,15,cut_sheet_to_size,CNC Machine,1,CNC003,CNC Machine
74,1,2,2025-01-20 22:26:54,2025-01-20 22:31:54,2025-01-17 13:31:54,0.4,1.3,15,cut_sheet_of_larger_size,CNC Machine,1,CNC002,CNC Machine
75,1,3,2025-01-20 22:31:54,2025-01-20 22:41:54,2025-01-17 13:31:54,0.4,1.3,15,add_attachment_to_sheet,Cutting Table,1,CT002,Cutting Table
76,1,4,2025-01-20 23:11:54,2025-01-20 23:19:54,2025-01-17 13:31:54,0.4,1.3,15,apply_indents_to_sheet,Indenting Machine,2,IM002,Indenting Machine
77,1,5,2025-01-20 23:19:54,2025-01-20 23:41:54,2025-01-17 13:31:54,0.4,1.3,15,combine_sheets,Heating Element,2,HE002,Heating Element
78,1,6,2025-01-20 23:41:54,2025-01-20 23:47:54,2025-01-17 13:31:54,0.4,1.3,15,cut_panel_to_size,Cutting Table,1,CT002,Cutting Table
79,1,7,2025-01-20 23:47:54,2025-01-20 23:52:54,2025-01-17 13:31:54,0.4,1.3,15,quality_control_check,Cutting Table,1,CT001,Cutting Table
80,1,8,2025-01-20 23:52:54,2025-01-20 23:54:54,2025-01-17 13:31:54,0.4,1.3,15,wrap_on_pallet,Pallet,2,PAL002,Pallet
81,1,1,2025-01-20 22:46:54,2025-01-20 22:56:54,2025-01-17 13:31:54,0.4,1.3,15,cut_sheet_to_size,CNC Machine,1,CNC001,CNC Machine
82,1,2,2025-01-20 23:11:54,2025-01-20 23:16:54,2025-01-17 13:31:54,0.4,1.3,15,cut_sheet_of_larger_size,CNC Machine,2,CNC002,CNC Machine
83,1,3,2025-01-20 23:16:54,2025-01-20 23:26:54,2025-01-17 13:31:54,0.4,1.3,15,add_attachment_to_sheet,Cutting Table,1,CT004,Cutting Table
84,1,4,2025-01-20 23:26:54,2025-01-20 23:34:54,2025-01-17 13:31:54,0.4,1.3,15,apply_indents_to_sheet,Indenting Machine,2,IM001,Indenting Machine
85,1,5,2025-01-20 23:34:54,2025-01-20 23:52:54,2025-01-17 13:31:54,0.4,1.3,15,combine_sheets,Heating Element,2,HE002,Heating Element
86,1,6,2025-01-20 23:52:54,2025-01-20 23:57:54,2025-01-17 13:31:54,0.4,1.3,15,cut_panel_to_size,Cutting Table,2,CT003,Cutting Table
87,1,7,2025-01-20 23:57:54,2025-01-21 00:02:54,2025-01-17 13:31:54,0.4,1.3,15,quality_control_check,Cutting Table,3,CT003,Cutting Table
88,1,8,2025-01-21 00:02:54,2025-01-21 00:04:54,2025-01-17 13:31:54,0.4,1.3,15,wrap_on_pallet,Pallet,3,PAL003,Pallet
89,1,1,2025-01-20 23:01:54,2025-01-20 23:16:54,2025-01-17 13:31:54,0.4,1.3,15,cut_sheet_to_size,CNC Machine,1,CNC001,CNC Machine
90,1,2,2025-01-21 00:16:54,2025-01-21 00:21:54,2025-01-17 13:31:54,0.4,1.3,15,cut_sheet_of_larger_size,CNC Machine,3,CNC003,CNC Machine
91,1,3,2025-01-21 00:21:54,2025-01-21 00:31:54,2025-01-17 13:31:54,0.4,1.3,15,add_attachment_to_sheet,Cutting Table,1,CT002,Cutting Table
92,1,4,2025-01-21 00:31:54,2025-01-21 00:39:54,2025-01-17 13:31:54,0.4,1.3,15,apply_indents_to_sheet,Indenting Machine,2,IM002,Indenting Machine
93,1,5,2025-01-21 00:39:54,2025-01-21 00:55:54,2025-01-17 13:31:54,0.4,1.3,15,combine_sheets,Heating Element,2,HE001,Heating Element
94,1,6,2025-01-21 00:55:54,2025-01-21 01:00:54,2025-01-17 13:31:54,0.4,1.3,15,cut_panel_to_size,Cutting Table,1,CT002,Cutting Table
95,1,7,2025-01-21 01:00:54,2025-01-21 01:05:54,2025-01-17 13:31:54,0.4,1.3,15,quality_control_check,Cutting Table,1,CT004,Cutting Table
96,1,8,2025-01-21 01:05:54,2025-01-21 01:07:54,2025-01-17 13:31:54,0.4,1.3,15,wrap_on_pallet,Pallet,2,PAL004,Pallet
97,1,1,2025-01-20 23:16:54,2025-01-20 23:30:54,2025-01-17 13:31:54,0.4,1.3,15,cut_sheet_to_size,CNC Machine,1,CNC003,CNC Machine
98,1,2,2025-01-20 23:30:54,2025-01-20 23:37:54,2025-01-17 13:31:54,0.4,1.3,15,cut_sheet_of_larger_size,CNC Machine,1,CNC002,CNC Machine
