ordered_height,ordered_width,process_name,num_staff_required,equipment_name,process_duration_minutes,hour_started,day_of_week,is_weekend
0.4,1.3,cut_sheet_to_size,3,CNC Machine,14.0,15,0,0
0.4,1.3,cut_sheet_of_larger_size,1,CNC Machine,5.0,15,0,0
0.4,1.3,add_attachment_to_sheet,3,Cutting Table,10.0,15,0,0
0.4,1.3,apply_indents_to_sheet,2,Indenting Machine,7.0,16,0,0
0.4,1.3,combine_sheets,2,Heating Element,16.0,16,0,0
0.4,1.3,cut_panel_to_size,1,Cutting Table,5.0,16,0,0
0.4,1.3,quality_control_check,1,Cutting Table,5.0,16,0,0
0.4,1.3,wrap_on_pallet,2,Pallet,2.0,16,0,0
0.4,1.3,cut_sheet_to_size,3,CNC Machine,10.0,16,0,0
0.4,1.3,cut_sheet_of_larger_size,1,CNC Machine,4.0,16,0,0
0.4,1.3,add_attachment_to_sheet,1,Cutting Table,10.0,16,0,0
0.4,1.3,apply_indents_to_sheet,2,Indenting Machine,8.0,16,0,0
0.4,1.3,combine_sheets,2,Heating Element,15.0,16,0,0
0.4,1.3,cut_panel_to_size,1,Cutting Table,5.0,16,0,0
0.4,1.3,quality_control_check,1,Cutting Table,5.0,16,0,0
0.4,1.3,wrap_on_pallet,3,Pallet,2.0,16,0,0
0.4,1.3,cut_sheet_to_size,1,CNC Machine,10.0,17,0,0
0.4,1.3,cut_sheet_of_larger_size,1,CNC Machine,5.0,17,0,0
0.4,1.3,add_attachment_to_sheet,1,Cutting Table,11.0,17,0,0
0.4,1.3,apply_indents_to_sheet,4,Indenting Machine,8.0,17,0,0
0.4,1.3,combine_sheets,2,Heating Element,18.0,18,0,0
0.4,1.3,cut_panel_to_size,1,Cutting Table,5.0,18,0,0
0.4,1.3,quality_control_check,1,Cutting Table,5.0,18,0,0
0.4,1.3,wrap_on_pallet,4,Pallet,2.0,18,0,0
0.4,1.3,cut_sheet_to_size,1,CNC Machine,11.0,18,0,0
0.4,1.3,cut_sheet_of_larger_size,3,CNC Machine,5.0,18,0,0
0.4,1.3,add_attachment_to_sheet,1,Cutting Table,10.0,18,0,0
0.4,1.3,apply_indents_to_sheet,3,Indenting Machine,8.0,18,0,0
0.4,1.3,combine_sheets,2,Heating Element,14.0,19,0,0
0.4,1.3,cut_panel_to_size,1,Cutting Table,7.0,19,0,0
0.4,1.3,quality_control_check,1,Cutting Table,5.0,19,0,0
0.4,1.3,wrap_on_pallet,2,Pallet,2.0,19,0,0
0.4,1.3,cut_sheet_to_size,1,CNC Machine,10.0,19,0,0
0.4,1.3,cut_sheet_of_larger_size,1,CNC Machine,7.0,19,0,0
0.4,1.3,add_attachment_to_sheet,1,Cutting Table,10.0,19,0,0
0.4,1.3,apply_indents_to_sheet,2,Indenting Machine,8.0,19,0,0
0.4,1.3,combine_sheets,2,Heating Element,15.0,20,0,0
0.4,1.3,cut_panel_to_size,1,Cutting Table,5.0,20,0,0
0.4,1.3,quality_control_check,1,Cutting Table,5.0,20,0,0
0.4,1.3,wrap_on_pallet,2,Pallet,2.0,20,0,0
0.4,1.3,cut_sheet_to_size,1,CNC Machine,10.0,18,0,0
0.4,1.3,cut_sheet_of_larger_size,1,CNC Machine,5.0,18,0,0
0.4,1.3,add_attachment_to_sheet,1,Cutting Table,10.0,19,0,0
0.4,1.3,apply_indents_to_sheet,4,Indenting Machine,8.0,20,0,0
0.4,1.3,combine_sheets,2,Heating Element,15.0,20,0,0
0.4,1.3,cut_panel_to_size,1,Cutting Table,5.0,21,0,0
0.4,1.3,quality_control_check,1,Cutting Table,5.0,21,0,0
0.4,1.3,wrap_on_pallet,3,Pallet,2.0,21,0,0
0.4,1.3,cut_sheet_to_size,1,CNC Machine,10.0,20,0,0
0.4,1.3,cut_sheet_of_larger_size,1,CNC Machine,7.0,20,0,0
0.4,1.3,add_attachment_to_sheet,2,Cutting Table,10.0,21,0,0
0.4,1.3,apply_indents_to_sheet,2,Indenting Machine,8.0,21,0,0
0.4,1.3,combine_sheets,2,Heating Element,15.0,21,0,0
0.4,1.3,cut_panel_to_size,3,Cutting Table,5.0,21,0,0
0.4,1.3,quality_control_check,1,Cutting Table,7.0,21,0,0
0.4,1.3,wrap_on_pallet,4,Pallet,2.0,21,0,0
0.4,1.3,cut_sheet_to_size,1,CNC Machine,10.0,21,0,0
0.4,1.3,cut_sheet_of_larger_size,1,CNC Machine,5.0,21,0,0
0.4,1.3,add_attachment_to_sheet,1,Cutting Table,10.0,21,0,0
0.4,1.3,apply_indents_to_sheet,2,Indenting Machine,6.0,21,0,0
0.4,1.3,combine_sheets,2,Heating Element,15.0,22,0,0
0.4,1.3,cut_panel_to_size,1,Cutting Table,6.0,22,0,0
0.4,1.3,quality_control_check,1,Cutting Table,5.0,22,0,0
0.4,1.3,wrap_on_pallet,3,Pallet,2.0,22,0,0
0.4,1.3,cut_sheet_to_size,2,CNC Machine,12.0,22,0,0
0.4,1.3,cut_sheet_of_larger_size,1,CNC Machine,7.0,22,0,0
0.4,1.3,add_attachment_to_sheet,1,Cutting Table,13.0,22,0,0
0.4,1.3,apply_indents_to_sheet,2,Indenting Machine,11.0,22,0,0
0.4,1.3,combine_sheets,4,Heating Element,15.0,22,0,0
0.4,1.3,cut_panel_to_size,1,Cutting Table,5.0,22,0,0
0.4,1.3,quality_control_check,1,Cutting Table,5.0,23,0,0
0.4,1.3,wrap_on_pallet,2,Pallet,2.0,23,0,0
0.4,1.3,cut_sheet_to_size,1,CNC Machine,10.0,22,0,0
0.4,1.3,cut_sheet_of_larger_size,1,CNC Machine,5.0,22,0,0
0.4,1.3,add_attachment_to_sheet,1,Cutting Table,10.0,22,0,0
0.4,1.3,apply_indents_to_sheet,2,Indenting Machine,8.0,23,0,0
0.4,1.3,combine_sheets,2,Heating Element,22.0,23,0,0
0.4,1.3,cut_panel_to_size,1,Cutting Table,6.0,23,0,0
0.4,1.3,quality_control_check,1,Cutting Table,5.0,23,0,0
0.4,1.3,wrap_on_pallet,2,Pallet,2.0,23,0,0
0.4,1.3,cut_sheet_to_size,1,CNC Machine,10.0,22,0,0
0.4,1.3,cut_sheet_of_larger_size,2,CNC Machine,5.0,23,0,0
0.4,1.3,add_attachment_to_sheet,1,Cutting Table,10.0,23,0,0
0.4,1.3,apply_indents_to_sheet,2,Indenting Machine,8.0,23,0,0
0.4,1.3,combine_sheets,2,Heating Element,18.0,23,0,0
0.4,1.3,cut_panel_to_size,2,Cutting Table,5.0,23,0,0
0.4,1.3,quality_control_check,3,Cutting Table,5.0,23,0,0
0.4,1.3,wrap_on_pallet,3,Pallet,2.0,0,1,0
0.4,1.3,cut_sheet_to_size,1,CNC Machine,15.0,23,0,0
0.4,1.3,cut_sheet_of_larger_size,3,CNC Machine,5.0,0,1,0
0.4,1.3,add_attachment_to_sheet,1,Cutting Table,10.0,0,1,0
0.4,1.3,apply_indents_to_sheet,2,Indenting Machine,8.0,0,1,0
0.4,1.3,combine_sheets,2,Heating Element,16.0,0,1,0
0.4,1.3,cut_panel_to_size,1,Cutting Table,5.0,0,1,0
0.4,1.3,quality_control_check,1,Cutting Table,5.0,1,1,0
0.4,1.3,wrap_on_pallet,2,Pallet,2.0,1,1,0
0.4,1.3,cut_sheet_to_size,1,CNC Machine,14.0,23,0,0
0.4,1.3,cut_sheet_of_larger_size,1,CNC Machine,7.0,23,0,0
0.4,1.3,add_attachment_to_sheet,1,Cutting Table,10.0,23,0,0
0.4,1.3,apply_indents_to_sheet,2,Indenting Machine,8.0,0,1,0
0.4,1.3,combine_sheets,2,Heating Element,19.0,0,1,0
0.4,1.3,cut_panel_to_size,1,Cutting Table,5.0,0,1,0
0.4,1.3,quality_control_check,1,Cutting Table,5.0,0,1,0
0.4,1.3,wrap_on_pallet,2,Pallet,2.0,0,1,0
0.4,1.3,cut_sheet_to_size,1,CNC Machine,10.0,0,1,0
0.4,1.3,cut_sheet_of_larger_size,1,CNC Machine,5.0,0,1,0
0.4,1.3,add_attachment_to_sheet,3,Cutting Table,10.0,0,1,0
0.4,1.3,apply_indents_to_sheet,2,Indenting Machine,11.0,0,1,0
0.4,1.3,combine_sheets,2,Heating Element,15.0,1,1,0
0.4,1.3,cut_panel_to_size,1,Cutting Table,5.0,1,1,0
0.4,1.3,quality_control_check,1,Cutting Table,5.0,1,1,0
0.4,1.3,wrap_on_pallet,2,Pallet,3.0,1,1,0
0.4,1.3,cut_sheet_to_size,1,CNC Machine,15.0,1,1,0
